id,delegation,salutation,name,title,affiliation
1,Afghanistan,H.E. Mr.,H.E. Mr. Schah-zaman Maiwandi,Director General,National Environmental Protection Agency
2,Afghanistan,Mr.,Mr. Idrees Malyar,"Deputy Head, National",National Environmental Protection Agency
3,Afghanistan,Mr.,Mr. Abdul Khalil Arman,UNFCCC National Focal Point,Ministry of Foreign Affairs
4,Afghanistan,Mr.,Mr. Ahmad Samim Hoshmand,NA,NA
5,Afghanistan,Mr.,Mr. Mohammad Shoaib Saboory,NA,NA
6,Afghanistan,Mr.,Mr. Rohullah Amin,NA,NA
7,Afghanistan,Mr.,Mr. M.Solaiman Bakhshi,NA,NA
8,Afghanistan,Mr.,Mr. Mohammad Monib Noori,NA,NA
9,Afghanistan,Ms.,Ms. Laila Ayan,UN Affairs Department,Ministry of Foreign Affairs
10,Afghanistan,Mr.,Mr. Mohammad Salim Salim,NA,NA
11,Afghanistan,Mr.,Mr. Roshaan Wolusmal,NA,NA
12,Afghanistan,Ms.,Ms. Silke Christina Ingrid,Wartmann,NA
13,Afghanistan,Mr.,Mr. Humayoon Rasaw,NA,NA
14,Afghanistan,Mr.,Mr. Mohammad Reza Qasemi,NA,NA
15,Afghanistan,Mr.,Mr. Ahmad Shekib Mostaghni,NA,NA
16,Albania,Ms.,Ms. Mirela Kamberi,"Team Leader, Projects Manager",United Nations Development Programme - Tirana
17,Albania,Mr.,Mr. Gazmend Barbullushi,Ambassador,"Embassy of Albania, Spain"
18,Algeria,H.E. Ms.,H.E. Ms. Fatma Zohra Zerouati,Minister,Ministry of Environment and Renewable Energies
19,Algeria,Mr.,Mr. Toufik Milat,Ambassador,Algerian Embassy in Madrid
20,Algeria,Mr.,Mr. Lazhar Soualem,Director,Algerian Embassy in Warsaw
21,Algeria,Mr.,Mr. Athmane Mehadji,General Direction of Multilateral,Ministry of Foreign Affairs
22,Algeria,Mr.,Mr. Tahar Melizi,General Manager,"Ministry of Interior, Land Management and Territorial Collectivities"
23,Algeria,Mr.,Mr. Abdelouahab Berretima,Director,"Ministry of Interior, Land Management and Territorial Collectivities"
24,Algeria,Mr.,Mr. Abdel Hamid Terghini,Ministry of Tourism,Ministry of Tourism
25,Algeria,Mr.,Mr. Ali Menguelati,Councelor,Algerian Embassy in Madrid
26,Algeria,Mr.,Mr. Mohammed Bakalem,National Economic and Social,National Economic and Social Council
27,Algeria,Mr.,Mr. Boubakeur Abbes,National Economic and Social,National Economic and Social Council
28,Algeria,Ms.,Ms. Hamida Merabet,Analysis and Synthesis Manager,National Economic and Social Council
29,Algeria,Ms.,Ms. Mehdya Taallah,Deputy-Director,Ministry of Public Works
30,Algeria,Ms.,Ms. Dallel Boudissa,Deputy Director,"Ministry of Interior, Land Management and Territorial Collectivities"
31,Algeria,Mr.,Mr. Abderrahmane Boukadoum,General Director,National Agency of Climate Change
32,Algeria,Ms.,Ms. Saida Laouar,"Deputy Director, Climate Change",Ministry of Environment
33,Algeria,Ms.,Ms. Nacera Amrani Bernaoui,Study and Synthesis Manager,Ministry of Water Resources
34,Algeria,Mr.,Mr. Redha Bourioua,Deputy Director of Construction’s,Ministry of Housing and Land
35,Algeria,Mr.,Mr. Hamza Merabet,Researcher,Ministry of Higher Education and Scientific Research Centre for Development of Renewable Energy
36,Algeria,Ms.,Ms. Terkia Hamana,First Secretary,Algerian Embassy in Madrid
37,Algeria,Ms.,Ms. Cylia Arrous,First Secretary,Algerian Embassy in Madrid
38,Algeria,Ms.,Ms. Wissam Toubal,In Charge of Phytogenitic,Ministry of Agriculture and Rural Development
39,Algeria,Mr.,Mr. Noureddine Yassaa,"Director, Centre for Development",Ministry of Higher Education and Scientific Research
40,Algeria,Mr.,Mr. Karim Ouamane,Director General,Ministry of Water Resources and Environment
41,Algeria,Mr.,Mr. Redouane Aouf,Ministry of Infrastructure and Transports,Air Algérie
42,Algeria,Ms.,Ms. Bouchra Ayouaz,In Charge of Communication,Ministry of Environment and Renewable Energies
43,Algeria,Mr.,Mr. Mohamed El Amine Boudis,Communication Officer,Ministry of Environment and Renewable Energies
44,Andorra,H.E. Mr.,H.E. Mr. Xavier Espot Zamora,Prime Minister,Govern d’Andorra
45,Andorra,H.E. Ms.,H.E. Ms. Silvia Calvó Armengol,Minister,Govern d’Andorra
46,Andorra,Mr.,Mr. Vicenç Mateu Zamora,Ambassador from Andorra to,Govern d’Andorra
47,Andorra,Mr.,Mr. Marc Rossell Soler,Secretary of State for Agriculture,Govern d’Andorra
48,Andorra,Mr.,Mr. Guillem Casal Font,Chief of Staff of the Head of Government,Govern d’Andorra
49,Andorra,Mr.,Mr. Carles Miquel Garcia,Director of the Energy and Climate,Govern d’Andorra
50,Andorra,Ms.,Ms. Iolanda Arauz Bringué,Second Secretary,Govern d’Andorra
51,Andorra,Ms.,Ms. Gemma Raduan Corrius,Second Secretary,Govern d’Andorra
52,Angola,S.E. Sra.,S.E. Sra. Paula Cristina Francisco,Minister,Angola Ministry of Environment
53,Angola,Mr.,Mr. Giza Gaspar Martins,Director,Angola Ministry of Environment
54,Angola,Ms.,Ms. Cecilia Silva Bernardo,Head of Vulnerabilities,Angola Ministry of Environment
55,Angola,Mr.,Mr. Jose Luis de Matos Agostinho,Angolan Ambassador to Spain,Angolan Ambassador to Spain
56,Angola,Mr.,Mr. Jorge Bengue Calumbo,Ministry of Transport,Ministry of Transport
57,Angola,Mr.,Mr. Mario Sergio Caposso,Secretary of State Consultant,Minister of Environment
58,Angola,Mr.,Mr. Luis Domingos Constantino,Minister of Environment,Minister of Environment
59,Angola,Ms.,Ms. Esperaça Maria e Francisco da,Costa,Universidade Agostinho Neto
60,Angola,Mr.,Mr. Abias Moma Huongo,Climate Change Consultant,Climate Change
61,Angola,Mr.,Mr. Arsenio Victorino Machado,Consultant,Minister of Environment
62,Angola,Mr.,Mr. Faustino Angelo Manuel,Ministerio da Agricultura,Ministerio da Agricultura
63,Angola,Ms.,Ms. Arlette Massala,Secretary of State Consultant,Angola Ministry of Environment
64,Angola,Mr.,Mr. Thiago de Araújo Mendes,NA,NA
65,Angola,Mr.,Mr. Benedito Jose Singa Moda,NA,NA
66,Angola,Mr.,Mr. Andre de Jesus Moda,Secretary of State of Agriculture,Agriculture
67,Angola,Sra.,Sra. Jandira Domingas Matias,Narciso,Angola Ministry of Environment
68,Angola,Mr.,Mr. Manuel Nazareth Neto,Ministry of Transport,Ministry of Transport
69,Angola,Mr.,Mr. Paulo Alexandre Agostinho de,Oliveira,Ministry of Transport
70,Angola,Mr.,Mr. Raju Pandit,NA,NA
71,Angola,Ms.,Ms. Caroline Dihl Prolo,NA,NA
72,Angola,Mr.,Mr. Gaspar Francisco dos Santos,Minister of Transport,Minister of Transport
73,Angola,Mr.,Mr. Amir Laurence Sokolowski,NA,NA
74,Angola,Ms.,Ms. Gabrielle Simone Ashton,Swaby,NA
75,Antigua and Barbuda,H.E. Mr.,H.E. Mr. Molywn Joseph,Minister,Government of Antigua and Barbuda
76,Antigua and Barbuda,H.E. Mr.,H.E. Mr. Morgonson Joseph,Honorable Minister,"Ministry of Health, Wellness and the Environment"
77,Antigua and Barbuda,H.E. Ms.,H.E. Ms. Diann Black-Layne,Ambassador for Climate Change,"Ministry of Agriculture, Lands, Housing and the Environment"
78,Antigua and Barbuda,Mr.,Mr. Tumasie Coastain Blair,Counselor,Ministry of Foreign Affairs
79,Antigua and Barbuda,Mr.,Mr. Michai Robertson,Legal Consultant,Government of Antigua and Barbuda
80,Antigua and Barbuda,Ms.,Ms. Rashauna Lorielle Adams,Project Consultant,"Ministry of Health, Wellness and the Environment"
81,Antigua and Barbuda,Ms.,Ms. Joana Teresa Gomes,Project Development Officer,"Ministry of Health, Wellness and the Environment"
82,Antigua and Barbuda,Ms.,Ms. Genevieve Renaud-Byrne,Project Coordinator,"Ministry of Health, Wellness and the Environment"
83,Antigua and Barbuda,Mr.,Mr. Arry Simon,Climate Assessment and Information Officer,Government of Antigua and Barbuda
84,Antigua and Barbuda,Mr.,Mr. Martin Barriteau,Department of the Environment,Department of the Environment
85,Antigua and Barbuda,Ms.,Ms. Frances Mary Fuller,Department of the Environment,Department of the Environment
86,Antigua and Barbuda,Ms.,Ms. Gail Cecilia Imhoff-Gordon,Ministry of Finance and Corporate,Ministry of Finance and Corporate Governance
