group,ultimate_parent_name,ultimate_parent_country,deal_number_deal_id,borrower_issuer_name,borrower_issuer_country,year,closing_issue_filing_date,maturity_date,years_to_maturity,years_expired_31_12_2020,months_to_maturity,months_expired_31_12_2020,days_to_maturity,type_short,type_of_financing,description,use_of_proceeds,original_currency,principal_tranche_amount_in_mln_of_original_currency,principal_tranche_amount_in_mln_us,total_package_amount_in_mln_of_original_currency,total_package_amount_in_mln_us,interest_rate_coupon,interest_rate_is_proxy,borrower_issuer_cusip,isin,manager_name,manager_country,manager_role_participant_type,known_manager_commitment_amount_in_us_mln,per_investor_value_in_mln_us,percentage_of_principal_tranche_amount,investor_parent,investor_parent_country,source,database,profundo_ultimate_parent,profundo_borrower,si_target_market,deal_fee_income_us_mln,deal_fee_ratio,loan_interest_income,interest_period_used,total_income_us_mln,x44196,closing_issue_filing_quarter
Socfin,Socfin,Luxembourg,OkomuAR17-1,Okomu Oil Palm Company PLC,Nigeria,2016,2016-08-01,2021-08-01,5,1,60,-7,1826,Loans,Corporate loan,NA,NA,NGN,2000,6.11621,2000,6.11621,16.8680157641191,TRUE,NA,NA,Zenith,NA,NA,6.11621,6.11621,1,Zenith Bank,Nigeria,"Okomu Oil Palm (2018, June), Annual Report 2017, p. 60.",AR,Socfin,Socfin,NA,0.03178956589081909,0.0051975922819555076,3.138251753460902,YEARS,3.170041319351721,NA,3
Socfin,Socfin,Luxembourg,AL417932 Corp,SOCFIN SA,Luxembourg,2016,2016-12-09,2021-12-09,5,1,60,-11,1826,Underwriting,Bond issuance,SOCFIL 4 12/09/21,General Corporate Purposes,EUR,80000000,84.488,80000000,84.488,4,NA,NA,NA,ING Bank NV/London,NA,Bookrunner,NA,84.488,1,ING Group,Netherlands,"Bloomberg, 'BBID: AL417932 Corp', viewed in February 2017.",Bloomberg,Socfin,Socfin,NA,0.29428860160000003,0.0034832,-,n/a,0.29428860160000003,NA,4
Socfin,Socfin,Luxembourg,OkomuAR18-1,Okomu Oil Palm Company PLC,Nigeria,2018,2018-05-01,2024-05-01,6,4,72,-40,2192,Loans,Corporate loan,to finance the procurement of items,NA,NGN,1947,6.379423328964614,1947,6.379423328964614,16.9038969646886,TRUE,NA,NA,Bank of Industry,Nigeria,NA,6.379423328964614,6.379423328964614,1,Bank of Industry,Nigeria,"Okomu Oil Palm (2019), Annual Report 2018, p. 66.",AR,Socfin,Socfin,NA,0.033157641457953385,0.0051975922819555076,2.0393309547859961,YEARS,2.0724885962439497,NA,2
Socfin,Socfinaf SA,Luxembourg,NA,Socfinaf SA,Luxembourg,2020,2020-09-30,NA,NA,NA,NA,NA,NA,Shareholding,Shareholding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delen Capfi Private Bank,Belgium,NA,NA,1.35491342,0.7288,Ackermans & van Haaren,Belgium,"Thomson Reuters Eikon, 'Share ownership: Socfinaf SA -  30 September 2020', viewed in January 2021.",Thomson Reuters,Socfin,Socfin,NA,NA,NA,n/a,n/a,NA,NA,3
Socfin,Socfinaf SA,Luxembourg,NA,Socfinaf SA,Luxembourg,2020,2020-09-30,NA,NA,NA,NA,NA,NA,Shareholding,Shareholding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kredietrust Luxembourg S.A.,Luxembourg,NA,NA,0.03040814,0.0168,Precision Capital,Luxembourg,"Thomson Reuters Eikon, 'Share ownership: Socfinaf SA -  30 September 2020', viewed in January 2021.",Thomson Reuters,Socfin,Socfin,NA,NA,NA,n/a,n/a,NA,NA,3
Socfin,Socfinasia SA,Luxembourg,NA,Socfinasia SA,Luxembourg,2020,2020-09-30,NA,NA,NA,NA,NA,NA,Shareholding,Shareholding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delen Capfi Private Bank,Belgium,NA,NA,0.56975846,0.2143,Ackermans & van Haaren,Belgium,"Thomson Reuters Eikon, 'Share ownership: Socfinasia SA -  30 September 2020', viewed in January 2021.",Thomson Reuters,Socfinasia,Socfinasia,NA,NA,NA,n/a,n/a,0.009416408169565302,NA,3
Socfin,Socfinasia SA,Luxembourg,NA,Socfinasia SA,Luxembourg,2020,2020-09-30,NA,NA,NA,NA,NA,NA,Shareholding,Shareholding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIDE Capital,Belgium,NA,NA,0.11287189,0.0383,FIDE Capital,Belgium,"Thomson Reuters Eikon, 'Share ownership: Socfinasia SA -  30 September 2020', viewed in January 2021.",Thomson Reuters,Socfinasia,Socfinasia,NA,NA,NA,n/a,n/a,0.0016815014588509468,NA,3
Socfin,Socfinaf SA,Luxembourg,NA,Socfinaf SA,Luxembourg,2020,2020-06-30,NA,NA,NA,NA,NA,NA,Shareholding,Shareholding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delen Capfi Private Bank,Belgium,NA,NA,1.35491342,0.7288,Ackermans & van Haaren,Belgium,"Thomson Reuters Eikon, 'Share ownership: Socfinaf SA -  30 June 2020', viewed in January 2021.",Thomson Reuters,Socfin,Socfin,NA,NA,NA,n/a,n/a,NA,NA,2
Socfin,Socfinaf SA,Luxembourg,NA,Socfinaf SA,Luxembourg,2020,2020-06-30,NA,NA,NA,NA,NA,NA,Shareholding,Shareholding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kredietrust Luxembourg S.A.,Luxembourg,NA,NA,0.02998686,0.0168,Precision Capital,Luxembourg,"Thomson Reuters Eikon, 'Share ownership: Socfinaf SA -  30 June 2020', viewed in January 2021.",Thomson Reuters,Socfin,Socfin,NA,NA,NA,n/a,n/a,NA,NA,2
Socfin,Socfinasia SA,Luxembourg,NA,Socfinasia SA,Luxembourg,2020,2020-06-30,NA,NA,NA,NA,NA,NA,Shareholding,Shareholding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delen Capfi Private Bank,Belgium,NA,NA,0.56975846,0.2143,Ackermans & van Haaren,Belgium,"Thomson Reuters Eikon, 'Share ownership: Socfinasia SA -  30 June 2020', viewed in January 2021.",Thomson Reuters,Socfinasia,Socfinasia,NA,NA,NA,n/a,n/a,0.009416408169565302,NA,2
Socfin,Socfinasia SA,Luxembourg,NA,Socfinasia SA,Luxembourg,2020,2020-06-30,NA,NA,NA,NA,NA,NA,Shareholding,Shareholding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FIDE Capital,Belgium,NA,NA,0.11287189,0.0383,FIDE Capital,Belgium,"Thomson Reuters Eikon, 'Share ownership: Socfinasia SA -  30 June 2020', viewed in January 2021.",Thomson Reuters,Socfinasia,Socfinasia,NA,NA,NA,n/a,n/a,0.0016815014588509468,NA,2
Socfin,Socfinaf SA,Luxembourg,NA,Socfinaf SA,Luxembourg,2020,2020-03-31,NA,NA,NA,NA,NA,NA,Shareholding,Shareholding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Delen Capfi Private Bank,Belgium,NA,NA,1.35491342,0.7288,Ackermans & van Haaren,Belgium,"Thomson Reuters Eikon, 'Share ownership: Socfinaf SA -  31 March 2020', viewed in January 2021.",Thomson Reuters,Socfin,Socfin,NA,NA,NA,n/a,n/a,NA,NA,1
Socfin,Socfinaf SA,Luxembourg,NA,Socfinaf SA,Luxembourg,2020,2020-03-31,NA,NA,NA,NA,NA,NA,Shareholding,Shareholding,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kredietrust Luxembourg S.A.,Luxembourg,NA,NA,0.03126723,0.0168,Precision Capital,Luxembourg,"Thomson Reuters Eikon, 'Share ownership: Socfinaf SA -  31 March 2020', viewed in January 2021.",Thomson Reuters,Socfin,Socfin,NA,NA,NA,n/a,n/a,NA,NA,1
